iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,4,5,2,5,1,0,1,2,2,2,1,0,5,4,4,3,1,2,2,5,2,5,5,0,1,2,2,2,4,2,0,1,2,2,2,3,4,5,0,4,4,2,3,4,3,5,2,3,2,0,2,2,1,1,1,5,2,0,1,5,2,3,1,5,4,1,5,5,1,3,3,5,5,3,0,4,4,5,5,2,0,2,5,0,0,0,5,5,3,4,5,3,3
